Compound_name,SMILES,Score
NAU-LAT-f72-1,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(=O)CCl)CC3)cc(F)cc12,0.63931200648517
STU-CHA-bc0-1,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(=O)CCl)CC3)cc(F)cc12,0.63931200648517
JOO-PER-d7a-1,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(=O)CCl)CC3)cc(F)cc12,0.63931200648517
SID-ELM-8b3-25,O=C(CC1CCCCC1)Nc1c(Cl)ncc2[nH]ncc12,0.48534728012953043
DAR-DIA-842-14,N#Cc1ccc(CC(=O)Nc2cccnc2)s1,0.1796299685735646
CHR-SOS-b30-3,O=C(CC1(C#Cc2ccncc2)CCCCC1)Nc1cccnc1,0.58958233428147
CHR-SOS-f73-4,O=C(CC1(c2ccccc2)CCCC1)Nc1cccnc1,0.42908075452484307
MAK-UNK-516-9,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=S)NC2,0.5384200089897828
DAR-DIA-033-1,O=C(Nc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,0.6270874850015696
SID-ELM-8b3-21,O=C(CC1CCCCC1)Nc1c(Cl)ncc2[nH]ccc12,0.5437549790912402
GAB-REV-4a4-4,CC(=O)NCCc1c[nH]c2c(CNc3ccc4c(c3)C(=O)NC4)cc(F)cc12,0.6320997081267192
SID-ELM-258-16,Nc1cncc(NC(=O)CC2CCCCC2)c1,0.40551718980232315
MED-UNK-e6e-6,CC1(CC(=O)Nc2cccnc2)CCCCC1,0.29977041261265575
TRY-UNI-714-1,Cc1c(N)cncc1NC(=O)CC1CCCCC1,0.4275204520658091
CHR-SOS-597-5,O=C(CC1(Cc2ccccc2)CCCCC1)Nc1cccnc1,0.4996194671709848
KIM-UNI-60f-5,Cc1ccncc1N1C(=O)CCN(CCC(N)=[NH2+])C1=O,0.5635090096703989
CHR-SOS-1f3-7,Cc1ccncc1NC(=O)NC1(Oc2ccccc2)CCC1,0.39713076088889454
KIM-UNI-60f-7,Cc1ccncc1-n1c2c(ccc1=O)N(CC(N)=[NH2+])CCC2,0.5244355306080803
CHR-SOS-54d-2,O=C(CC1(C#CC2CCC[NH2+]2)CCCCC1)Nc1cccnc1,0.44695945821007227
ADA-UNI-f8e-8,CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,0.48401854584752013
DAR-DIA-23a-3,N#Cc1cccc(NC(=O)Cc2cncc(N)c2)c1,0.6437654534800409
MIH-UNI-339-2,Cc1ccncc1Nc1cc(-c2ccccc2)cc(N)n1,0.5375056218564938
ADA-UNI-f8e-2,CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1,0.32013146307093093
ALE-HEI-f28-7,Cc1ccncc1NC(=O)NC1CCCCC1,0.4297953401756633
TRY-UNI-714-11,Cc1ccncc1NC(=O)NC1CCCCC1,0.4297953401756633
SID-ELM-8b3-14,O=C(Nc1ccccc1)Nc1c(Cl)ncc2[nH]ncc12,0.4518514812932824
SID-ELM-b65-13,O=C(CC1CCCCC1)Nc1c(F)ncc2nccn12,0.39702397542527507
SID-ELM-b65-14,O=C(CC1CCCCC1)Nc1c(F)ncc2[nH]ncc12,0.45717390570958166
TRY-UNI-714-19,Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1,0.8294904907577405
MAK-UNK-726-5,Cc1ccncc1NC(=O)N1CCN(S(=O)(=O)c2ccsc2)CC1,0.7214551541287043
CHR-SOS-54d-8,Cc1cc(C#CC2(CC(=O)Nc3cccnc3)CCCCC2)n[nH]1,0.4014224375058971
CHR-SOS-70e-1,O=C(CC1(Oc2ccccc2)CCCCC1)Nc1cccnc1,0.35198264891261105
SID-ELM-258-2,O=C(CC1CCCCC1)Nc1cncc2nccn12,0.3087321757488982
MAK-UNK-105-8,O=C(C[NH+]1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1)NCCc1c[nH]c2ccc(F)cc12,0.2521852695155066
SID-ELM-258-13,O=C(CC1CCCCC1)Nc1cncc2ncncc12,0.2542172187476004
AUS-ARG-7cf-13,O=C(NCCC(c1ccccc1)c1ccccc1)c1cnccn1,0.46218282517936626
SID-ELM-258-19,CNc1cncc(NC(=O)CC2CCCCC2)c1,0.28966735996241705
ADA-UNI-f8e-6,C[NH2+]CC1CC1(C(=O)Nc1cccnc1)c1ccccc1,0.5851005913590724
SID-ELM-b65-20,O=C(CC1CCCCC1)Nc1c(F)ncc2nc[nH]c12,0.19819623091921526
JAV-UNI-450-1,CC(=O)N1Cc2ccccc2C(c2ccccc2)C1Cc1cccnc1,0.5481821717580033
SID-ELM-b65-21,Nc1cnc(F)c(NC(=O)CC2CCCCC2)c1,0.44553567210327344
ORN-MSD-f9d-1,NC(=O)NCCC1C=NC2C(CC[NH+]3CCCOCC3)=CC(F)=CC12,0.8495057241726665
TRY-UNI-714-10,Cc1ccncc1NC(=O)CC1CCCCC1,0.4085552564833267
ALE-HEI-f28-6,Cc1ccncc1NC(=O)CC1CCCCC1,0.4085552564833267
MAK-UNK-9e4-36,Cc1c(Cl)c(F)cc2c(=O)n(-c3cccnc3)c(=O)n(-c3ccccc3)c12,0.5452741684953463
SID-ELM-8b3-24,O=C(CC1CCCCC1)Nc1c(Cl)ncc2nc[nH]c12,0.2836890309895326
STE-UNK-e42-1,Cc1ccncc1Cc1n[nH]cc1-c1nccc(C2CC2)c1C,0.6196076428967241
AUS-ARG-7cf-11,O=C(CC(c1ccccc1)c1ccccc1)Nc1cccnc1,0.5749343823410175
CHR-SOS-f73-6,Cc1ncc(C2(CC(=O)Nc3cccnc3)CCCC2)s1,0.4624568450445463
ADA-UNI-f8e-12,C[NH2+]CC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,0.5374239401909521
CHR-SOS-597-2,O=C(CC1(Cc2cccnc2)CCCC1)Nc1cccnc1,0.6148279453974375
SID-ELM-258-3,O=C(CC1CCCCC1)Nc1cncc2nccnc12,0.27246398732039884
TRY-UNI-714-8,Cc1c(N)cncc1NC(=O)Nc1ccccc1,0.3669995031754236
CHR-SOS-597-1,O=C(CC1(Cc2ccccc2)CCCC1)Nc1cccnc1,0.5461462547690445
ALE-HEI-f28-9,O=C(CC1CCCCC1)Nc1cccnc1,0.4654762526281026
SID-ELM-258-12,O=C(CC1CCCCC1)Nc1cncc2[nH]ncc12,0.37725545948636374
CHR-SOS-70e-3,O=C(CC1(Oc2ccccc2)CCCC1)Nc1cccnc1,0.326130235704397
SID-ELM-258-4,O=C(CC1CCCCC1)Nc1cncn2nccc12,0.4974890614033052
DAR-DIA-033-3,O=C(Nc1cccc(Cl)c1)Nc1cnccc1CCNC(=O)NC1CCCCC1,0.4152563381125021
RUT-UNI-630-24,CC(C)Cc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,0.4672742576783339
ÁLV-UNI-7ff-48,Cc1ccnc2[nH]c(Cc3ccc4ccccc4c3)nc12,0.42980346712445056
CHR-SOS-54d-6,O=C(CC1(C#Cc2cnc[nH]2)CCCCC1)Nc1cccnc1,0.25750933701801354
SID-ELM-b65-11,O=C(CC1CCCCC1)Nc1c(F)ncc2[nH]ccc12,0.7245222168121607
CHR-SOS-54d-7,O=C(CC1(C#Cc2cc[nH]n2)CCCCC1)Nc1cccnc1,0.24701817139904997
CHR-SOS-70e-8,O=C(CC1(Oc2ccccc2)CCC1)Nc1cccnc1,0.5643965867592362
MIH-UNI-339-4,Cc1ccncc1Nc1ccc(CCS(N)(=O)=O)c(N)n1,0.3581277233711511
AUS-ARG-7cf-6,Cc1ccc(-c2n[nH]cc2C[NH2+]Cc2cccnc2)cc1,0.27231372707605495
JAN-GHE-641-6,C=CC(=O)N1CC[NH+](Cc2cccc3c(CCNC(=O)C4CCC[NH2+]4)c[nH]c23)CC1,0.6622880689453325
CHR-SOS-e96-4,Cc1ccncc1NC(=O)CC1(c2cccc(S(N)(=O)=O)c2)CCCCC1,0.3651798850992672
SWA-SYN-40d-5,FC(F)c1ccccc1CNc1nc2ccccc2[nH]1,0.3621249026615116
TRY-UNI-714-15,Cc1c(N)cncc1NC(=O)C(C)c1cccc(Cl)c1,0.8212883124115482
CHR-SOS-6c4-13,Cc1ccncc1NC(=O)NC1(C#Cc2cn(C)cn2)CCCCC1,0.5629840398767217
SID-ELM-b65-8,CNc1cnc(F)c(NC(=O)CC2CCCCC2)c1,0.48309241763166455
DAR-DIA-842-12,Cc1ccc(CC(=O)Nc2cccnc2)s1,0.48032221492209337
SAN-PRS-52b-1,O=C(NCC1CCCCC1)c1cccnc1,0.3250483550882959
BEN-DND-362-11,O=C(CN1CCCCC1C[NH+]1CCC(O)CC1)Nc1cccnc1,0.44627093256447586
JAC-SHE-db4-1,Cc1[nH]nc(-c2c[nH]c3c(C4CC(CO)CC4C(=O)Nc4cccnc4)cccc23)c1C,0.5635833024730833
MED-UNK-e6e-7,O=C(Nc1cccnc1)C(O)C1CCCCC1,0.21960401493808793
GAB-REV-70c-1,Cc1ccncc1NC(=O)CN(C)c1cccc(-c2cc[nH]n2)c1,0.6316262405505505
ADA-UNI-f8e-9,CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,0.6052179382306834
CHR-SOS-b30-6,O=C(CC1(C#Cc2cccnn2)CCCCC1)Nc1cccnc1,0.38325370684585636
BEN-VAN-578-10,Cc1ccncc1-c1ccc(=O)n(-c2cccc(N3CCCC3=O)c2)c1,0.6403946353505419
MIH-UNI-e57-2,O=C(CCl)N1CC[NH+](Cc2cccc3ccccc23)CC1c1cccnc1,0.5510613062589175
KAL-WAB-eb3-1,O=C(Cc1c[nH]c2ncccc12)Nc1cccnc1,0.32540158719340406
CHR-SOS-597-4,Cc1ncc(CC2(CC(=O)Nc3cccnc3)CCCCC2)s1,0.4859504801515185
DAR-DIA-842-13,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,0.3950842769739691
CHR-SOS-1f3-10,Cc1ccncc1NC(=O)NC1(Oc2ccccc2)CC1,0.6455107014952611
CHR-SOS-b30-7,O=C(CC1(C#Cc2ccncn2)CCCCC1)Nc1cccnc1,0.43003584288912006
TRY-UNI-714-18,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.8221051915866975
MED-UNK-e6e-1,CC(C(=O)Nc1cccnc1)C1CCCCC1,0.5461670924870875
MIH-UNI-e57-14,O=C(CCl)N1Cc2ccccc2C(c2ccccc2)C1Cc1c[nH]c2ncccc12,0.35853000466067997
ADA-UNI-f8e-10,C[NH2+]CCOC(C(=O)Nc1cccnc1)c1cccc(Cl)c1,0.5617836951734021
SID-ELM-8b3-23,O=C(CC1CCCCC1)Nc1c(Cl)ncc2nccn12,0.42322140989285384
SID-ELM-258-1,O=C(CC1CCCCC1)Nc1cncc2[nH]ccc12,0.6196130811230118
SID-ELM-b65-18,O=C(Nc1ccccc1)Nc1c(F)ncc2[nH]ncc12,0.49811462594409295
CHR-SOS-70e-6,O=C(CC1(Oc2ccccc2)CC1)Nc1cccnc1,0.278634010472217
MAK-UNK-0d6-5,CC(C(=O)[S-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.401737721705994
MAK-UNK-0d6-15,CC(C(=O)[S-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.401737721705994
SID-ELM-8b3-2,O=C(CC1CCCCC1)Nc1cccnc1F,0.40791591599705823
SID-ELM-258-10,O=C(Nc1ccccc1)Nc1cncc2[nH]ncc12,0.5475864255360922
MAK-UNK-516-15,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,0.4996026869818956
MAK-UNK-516-3,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,0.4996026869818956
MAK-UNK-516-12,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,0.4996026869818956
MAK-UNK-516-14,CCNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,0.4996026869818956
TRY-UNI-714-2,Cc1c(N)cncc1NC(=O)Cc1ccccc1,0.7272658026058325
MAK-UNK-9e4-27,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
MAK-UNK-9e4-23,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
MAK-UNK-9e4-26,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
MAK-UNK-9e4-25,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
MAK-UNK-9e4-24,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
MAK-UNK-9e4-22,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5565924092879754
NIR-THE-c33-3,CC(=O)NCCc1c[nH]c2c(C3CN(C(=O)CCl)Cc4ccccc43)c(F)ccc12,0.6784153075468924
CHR-SOS-6c4-2,Cc1ccncc1NC(=O)NC1(C#Cc2cccnc2)CCCCC1,0.547205988781945
GAB-REV-70c-12,Cc1ccncc1NC(=O)CCNc1ccc2[nH]ncc2c1,0.5383100663733461
MAK-UNK-208-1,[NH3+]CC1OC(C2CCCC(O)C2)Cc2c1ccc(O)c2O,0.2791921288794993
MAK-UNK-208-18,[NH3+]CC1OC(C2CCCC(O)C2)Cc2c1ccc(O)c2O,0.2791921288794993
FRA-BIO-8bf-1,Cc1ccc(S(=O)(=O)Nc2c(-c3cccnc3)nc3ccccn23)c(C)c1,0.4613229501813438
CHR-SOS-e96-2,NS(=O)(=O)c1cccc(C2(CC(=O)Nc3cccnc3)CCCC2)c1,0.36644035287608434
JOH-CHE-350-2,CC(=O)NCCc1c[nH]c2c1cc(Cl)c1cc(CCCC(N)=[NH2+])sc12,0.5882509728714663
WAR-XCH-e55-11,Cc1ccncc1NC(=O)C[NH2+]C1(c2ccccc2)CCCCC1,0.32474262940551746
CHR-SOS-f73-5,O=C(CC1(c2cccnc2)CCCC1)Nc1cccnc1,0.46906437246019417
KIM-UNI-60f-6,Cc1ccncc1N1C(=O)CCN(CCC(N)=O)C1=O,0.7631078455482151
STE-UNK-a3c-1,C#Cc1c(Cc2cc(C)cc3ccnnc23)nc(-c2cnccc2C)c2[nH]nc(C)c12,0.3960391796004025
TRY-UNI-714-3,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,0.7428081061693074
MAK-UNK-0d6-13,CN(C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.2897993280917455
CHR-SOS-1f3-1,Cc1ccncc1NC(=O)NC1(Oc2ccccc2)CCCCC1,0.46812510702048726
MIH-UNI-339-8,CS(=O)(=O)NCc1ccc2cc(N3CCN([O-])CC3)c(Cc3cccnc3)nc2c1,0.3567080198094014
AUS-ARG-7cf-3,COc1ccc2c(c1)CCCC2CNc1cn[nH]c(=O)c1Cl,0.4330552319523883
MAK-UNK-9e4-11,O=c1c2cc(F)c(F)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.531537846315982
CHR-SOS-1f3-4,Cc1ccncc1NC(=O)NC1(Oc2ccccc2)CCCC1,0.5318246375809733
CHR-SOS-54d-5,Nc1nccc(C#CC2(CC(=O)Nc3cccnc3)CCCCC2)n1,0.338985536394624
DAR-DIA-23a-2,N#Cc1cncc(NC(=O)Cc2c[nH]c3ncccc23)c1,0.47667040414606776
SID-ELM-b65-12,O=C(CC1CCCCC1)Nc1c(F)ncn2nccc12,0.2964280570321804
CHR-SOS-709-14,O=C(Nc1cccnc1)c1cc(Cl)ccc1-c1ccccc1,0.2696727944346196
MED-UNK-e6e-2,O=C(CC1CCC(F)CC1)Nc1cccnc1,0.4963288296787945
AUS-ARG-7cf-1,COC1CC(COc2cccnc2)N(c2ncccn2)C1,0.3301857018000555
MAK-UNK-194-15,CCc1ncnc(N)c1C#CC[NH2+]CCc1ccccc1,0.30987382130123875
DAR-DIA-842-23,Cn1cc(NC(=O)Cc2cc3cccnc3[nH]2)cn1,0.25282280172516175
MAK-UNK-9e4-35,Cc1c(F)c(Cl)cc2c1c(=O)n(-c1cccnc1)c(=O)n2-c1ccccc1,0.5977200335141487
ADA-UNI-f8e-4,C[NH2+]CCOC(C(=O)Nc1cccnc1)c1ccccc1,0.35775141542090255
PET-SGC-d01-2,CS(=O)(=O)NCCC1(CC(=O)Nc2cccnc2)CCCCC1,0.5086468484106393
PET-SGC-d01-1,CS(=O)(=O)NCC(C(=O)Nc1cccnc1)c1ccccc1,0.49332703498856195
SID-ELM-258-14,O=C(Nc1ccccc1)Nc1cncc2nccn12,0.17722554932405252
MAK-UNK-208-11,[NH3+]CC1OC(C2CCCC(CO)C2)Cc2c1ccc(O)c2O,0.3817961416687268
SID-ELM-258-15,CN(C)c1cncc(NC(=O)CC2CCCCC2)c1,0.32311944635749545
MAK-UNK-208-24,[NH3+]CC1OC(C2CC(O)CC(O)C2)Cc2c1ccc(O)c2O,0.35590102710582616
RAI-NOV-c18-2,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnc1,0.5313362718476237
SID-ELM-b65-10,O=C(CC1CCCCC1)Nc1c(F)ncc2ncccc12,0.5419242299851815
WAR-XCH-e55-9,Cc1ccncc1NC(=O)NC1(c2cccnc2)CCCCC1,0.7337387721888676
SID-ELM-258-5,Nc1cncc(NC(=O)Nc2ccccc2)c1,0.2779846693849581
MAK-UNK-208-13,[NH3+]CC1OC(C2CC(O)CC(O)C2O)Cc2c1ccc(O)c2O,0.27000205767633206
MAK-UNK-198-9,[NH3+]CC1OC(C2CC(O)CC(O)C2O)Cc2c1ccc(O)c2O,0.27000205767633206
MAK-UNK-208-12,[NH3+]CC1OC(C2CC(O)CC(O)C2O)Cc2c1ccc(O)c2O,0.27000205767633206
MAK-UNK-208-16,[NH3+]CC1OC(C2CC(O)CC(O)C2O)Cc2c1ccc(O)c2O,0.27000205767633206
CHR-SOS-6c4-5,Cc1ccncc1NC(=O)NC1(C#Cc2cccnc2)CCCC1,0.5312363018757207
DAR-DIA-fb2-15,CC(=O)NCCc1c[nH]c2c(C[NH+]3CCN(C(=O)CCl)CC3)cc(Cl)cc12,0.6621643694835385
MAK-UNK-208-10,CCC1CCCC(C2Cc3c(ccc(O)c3O)C(C[NH3+])O2)O1,0.3569730344594608
CHR-SOS-597-3,Cc1ncc(CC2(CC(=O)Nc3cccnc3)CCCC2)s1,0.4474365184046913
MAK-UNK-516-1,CNc1ncc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,0.4855990052747133
MAK-UNK-198-13,[NH3+]CC1OC(C2CCCCC2)Cc2c1ccc(O)c2O,0.3696741824862397
MAK-UNK-208-6,[NH3+]CC1OC(C2CCCCC2)Cc2c1ccc(O)c2O,0.3696741824862397
MAK-UNK-60a-8,[NH3+]CC1OC(C2CCCCC2)Cc2c1ccc(O)c2O,0.3696741824862397
CHR-SOS-597-6,O=C(CC1(Cc2cccnc2)CCCCC1)Nc1cccnc1,0.5088774382281053
TAM-UNI-c14-8,NS(=O)(=O)c1ccc2c(c1)CN(C(=O)Cc1c[nH]c3ncccc13)CCC2,0.4100800005114698
TAM-UNI-c14-3,CC(=O)NCCc1c[nH]c2c(NCC(=O)Nc3cccnc3)cc(F)cc12,0.5451562382139576
NAU-LAT-811-5,CC(=O)NCCc1c[nH]c2c(OCc3ccccc3)cc(F)cc12,0.5745653347627994
GAB-REV-70c-17,Cc1ccncc1NC(=O)CNc1c[nH]c2ccccc12,0.536408937313876
AUS-ARG-7cf-8,Cc1nc(C2Nc3ccccc3C(=O)N2Cc2cccnc2)cs1,0.40225099300044076
GAB-REV-70c-15,COc1ccc(-c2csc(CC(=O)Nc3cnccc3C)n2)cc1,0.6244199341352982
GAB-REV-70c-18,Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,0.6231828148028343
MAK-UNK-194-13,C(#Cc1cncnc1)C[NH2+]CCc1ccccc1,0.42683935779976406
HAR-NEW-ca1-2,O=C(Nc1cccc(O)c1)Nc1cnccc1CC1CCNC(=O)N1,0.22989416789699907
AUS-ARG-7cf-10,Fc1ccc(Oc2nc(-c3cccnc3)nc3ccccc23)c(Cl)c1,0.40828981549511717
CHR-SOS-709-15,NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2C(=O)Nc2cccnc2)cc1,0.29028356519166687
DAR-DIA-23a-4,N#Cc1cccc(NC(=O)Cc2cccnc2)c1,0.6202417437662678
CHA-KIN-cea-2,O=C(CC1CCCCC1)Nc1cnccc1CO,0.6995632831716309
TRY-UNI-1fd-5,O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,0.4882573377888004
MIH-UNI-339-3,Cc1ccncc1Nc1cc(-c2ccccc2CCS(N)(=O)=O)cc(N)n1,0.42777347198638443
CHR-SOS-6c4-3,Cc1ccncc1NC(=O)NC1(C#Cc2cncnc2)CCCCC1,0.5867119799671029
DAR-DIA-033-7,O=C(Cc1ccccc1)Nc1cnccc1CCNC(=O)NC1CCCCC1,0.6922225581880882
CHR-SOS-6c4-7,Cc1ccncc1NC(=O)NC1(C#Cc2ccccn2)CCC1,0.5643537308112503
MAK-UNK-0d6-7,CC(C(=O)[O-])c1ccc2c(c1)[nH]c1cnc(Cl)cc12,0.3958121580450526
